sign_id,file_name,width_px,height_px,area_px
212,sign_212.png,40,48,485
213,sign_213.png,27,48,346
214,sign_214.png,48,41,568
215,sign_215.png,48,31,735
216,sign_216.png,48,45,584
217,sign_217.png,48,25,392
218,sign_218.png,48,23,374
219,sign_219.png,48,42,751
220,sign_220.png,48,37,638
221,sign_221.png,48,41,656
222,sign_222.png,48,41,537
223,sign_223.png,48,45,640
224,sign_224.png,48,38,436
225,sign_225.png,48,48,655
226,sign_226.png,48,33,384
227,sign_227.png,48,42,519
228,sign_228.png,39,48,609
229,sign_229.png,48,40,708
230,sign_230.png,48,40,669
231,sign_231.png,48,48,1029
232,sign_232.png,48,46,898
233,sign_233.png,42,48,621
234,sign_234.png,39,48,666
235,sign_235.png,48,40,675
236,sign_236.png,48,48,924
237,sign_237.png,16,48,393
238,sign_238.png,17,48,418
239,sign_239.png,19,48,460
240,sign_240.png,30,48,930
241,sign_241.png,26,48,748
242,sign_242.png,29,48,511
243,sign_243.png,29,48,617
244,sign_244.png,33,48,575
245,sign_245.png,34,48,809
246,sign_246.png,48,46,1029
247,sign_247.png,46,48,1141
248,sign_248.png,48,36,755
249,sign_249.png,29,48,370
250,sign_250.png,40,48,458
251,sign_251.png,29,48,562
252,sign_252.png,27,48,416
253,sign_253.png,29,48,401
254,sign_254.png,26,48,418
255,sign_255.png,30,48,471
256,sign_256.png,29,48,368
257,sign_257.png,42,48,519
258,sign_258.png,29,48,667
259,sign_259.png,45,48,641
260,sign_260.png,35,48,591
261,sign_261.png,37,48,394
262,sign_262.png,48,45,431
263,sign_263.png,36,48,461
264,sign_264.png,46,48,691
265,sign_265.png,37,48,511
266,sign_266.png,41,48,661
267,sign_267.png,39,48,506
268,sign_268.png,13,48,286
269,sign_269.png,37,48,673
270,sign_270.png,37,48,456
271,sign_271.png,34,48,529
272,sign_272.png,36,48,540
273,sign_273.png,32,48,491
274,sign_274.png,44,48,547
275,sign_275.png,39,48,492
276,sign_276.png,40,48,558
277,sign_277.png,39,48,511
278,sign_278.png,46,48,663
279,sign_279.png,40,48,592
280,sign_280.png,38,48,537
281,sign_281.png,41,48,624
282,sign_282.png,40,48,505
283,sign_283.png,39,48,556
284,sign_284.png,37,48,571
285,sign_285.png,48,46,676
286,sign_286.png,45,48,809
287,sign_287.png,15,48,172
288,sign_288.png,16,48,240
289,sign_289.png,44,48,404
290,sign_290.png,17,48,216
291,sign_291.png,38,48,541
292,sign_292.png,40,48,332
293,sign_293.png,15,48,248
294,sign_294.png,25,48,381
295,sign_295.png,27,48,449
296,sign_296.png,19,48,312
297,sign_297.png,19,48,387
298,sign_298.png,46,48,831
299,sign_299.png,17,48,194
300,sign_300.png,20,48,239
301,sign_301.png,15,48,248
302,sign_302.png,20,48,322
303,sign_303.png,34,48,349
304,sign_304.png,25,48,457
305,sign_305.png,25,48,471
306,sign_306.png,36,48,681
307,sign_307.png,26,48,517
308,sign_308.png,48,44,718
309,sign_309.png,37,48,778
310,sign_310.png,29,48,508
311,sign_311.png,28,48,583
312,sign_312.png,48,26,317
313,sign_313.png,48,41,563
314,sign_314.png,37,48,517
315,sign_315.png,20,48,388
316,sign_316.png,40,48,493
317,sign_317.png,38,48,679
318,sign_318.png,35,48,731
319,sign_319.png,32,48,460
320,sign_320.png,37,48,504
321,sign_321.png,38,48,567
322,sign_322.png,37,48,753
323,sign_323.png,46,48,591
324,sign_324.png,31,48,772
325,sign_325.png,41,48,602
326,sign_326.png,40,48,743
327,sign_327.png,40,48,942
328,sign_328.png,30,48,316
329,sign_329.png,29,48,361
330,sign_330.png,28,48,387
331,sign_331.png,25,48,323
332,sign_332.png,32,48,461
333,sign_333.png,25,48,292
334,sign_334.png,32,48,382
335,sign_335.png,26,48,432
336,sign_336.png,30,48,523
337,sign_337.png,32,48,631
338,sign_338.png,32,48,664
339,sign_339.png,48,46,527
340,sign_340.png,31,48,394
341,sign_341.png,33,48,519
342,sign_342.png,45,48,421
343,sign_343.png,46,48,560
344,sign_344.png,46,48,597
345,sign_345.png,44,48,585
346,sign_346.png,48,35,421
347,sign_347.png,42,48,482
348,sign_348.png,44,48,562
349,sign_349.png,46,48,541
350,sign_350.png,46,48,525
351,sign_351.png,48,48,594
352,sign_352.png,42,48,488
353,sign_353.png,30,48,439
354,sign_354.png,32,48,589
355,sign_355.png,45,48,794
